Makanan,Kalori (100 gram)
alpukat,322
anggur,69
apel,72
bakso sapi,202
bebek goreng,286
buah naga,50
chicken nugget,297
dada ayam goreng,216
ikan kembung,167
ikan lele goreng,105
ikan lele panggang,184
ikan salmon panggang,171
jambu air,55
jambu biji,37
jeruk,62
kentang rebus,87
mangga manalagi,72
manggis,73
melon,34
mie goreng instan,350
nasi merah,110
nasi putih,175
pepaya,39
perkedel kentang,117
pisang,105
roti gandum,67
roti putih,66
salak,8
sambal goreng kentang,107
semangka,30
singkong,160
spagetti,157
tahu bacem,119
tahu bakso,119
tahu isi,124
tahu sumedang,113
telur ceplok,92
telur dadar,93
telur orak arik,199
telur rebus,68
tempe bacem,157
tempe goreng,118
tumis kacang panjang,102
tumis kangkung,155
tumis labu siam,106
ubi jalar,86
udang goreng tepung,150
yogurt,63
